3,1,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
3,2,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
3,5,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
3,6,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
3,7,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
6,2,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
6,5,2007-01-01 00:00:00.000,2007-12-31 00:00:00.000
6,6,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
7,1,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
7,2,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
7,3,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
7,4,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
7,5,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
7,6,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
7,7,2008-01-01 00:00:00.000,2008-12-31 00:00:00.000
